Actual_Profit,Pred_RF,Pred_XGB
-36.0,-39.90806274328666,-42.931683
367.49,153.3288514808843,134.42583
-20.09,-31.68066551914181,-32.635216
-28.26,-23.174693804099483,-24.875484
88.2,66.74248603174607,67.32037
114.84,26.04096314472562,26.57893
-143.64,-160.78008852793047,-202.87656
57.12,28.531363473324692,34.681572
12.35,7.280437772738317,5.713487
-5.94,-7.271178260210155,-10.189567
5.97,9.170845004757023,5.698495
11.61,25.757788597697733,27.04482
-11.34,-5.09629150297619,1.5957144
2.2,7.09582397420084,4.1989865
-5.52,-15.38184962321553,-15.518338
8.4,7.975191140555438,5.365236
16.38,47.22471767811129,50.16172
4.65,6.857132924725776,5.4911194
-16.46,-29.03307779678653,-30.847124
123.26,50.588342309958804,48.069084
15.76,18.504634282583194,25.851816
2.88,4.288288244368143,3.2369866
-16.94,6.419184692234394,10.307196
4.65,7.884131017271267,5.203335
-3.83,-6.0078606267161225,-6.5415688
3.18,9.11235413844454,6.272237
1.73,3.557646545533677,3.3605492
21.42,17.319928567060693,10.46524
-40.89,-37.44328535822731,-44.966103
-7.37,30.901451714691724,26.710712
-2.72,-8.351566810897435,-12.583469
-14.44,-24.164623036138714,-45.726353
36.47,31.070476630763796,26.517061
1.32,14.015912221092648,11.407744
102.77,34.426879371122986,31.320177
-2.7,-10.297316589159266,-12.211386
24.27,16.656500933309776,14.779585
18.53,15.507490803571425,13.071944
29.76,20.899325870600123,25.648209
25.47,33.54592042329074,33.001835
3.24,8.146028203314408,10.191922
1.23,5.2821651238151155,3.733469
27.36,14.469241819648873,15.240429
-4.78,-14.792556856661855,-15.940176
41.37,53.41238545601004,51.660465
111.31,52.327112517968146,33.68552
331.92,296.7613593738331,316.89175
-24.67,-16.325061764227293,-15.919464
58.5,113.0274494204015,118.95449
85.8,151.81147101968094,153.16666
5.2,6.4650389045566214,-0.08831038
1.08,3.545839921207104,2.6898386
30.57,14.535500680494483,14.8703785
182.23,86.83898618864383,102.41893
-6.19,-47.43393367471563,-35.456867
-19.26,-39.71525220238097,-64.55433
-42.41,-112.265769811508,-143.38072
-7.48,-10.254056500253009,-22.45011
13.83,13.68352708692905,10.000541
10.98,7.4598207099112175,5.629331
0.48,15.65589089796403,16.302805
2.0,3.6416993528409103,2.6063528
28.8,16.26188061246731,-6.803949
10.44,11.086386014214284,8.576318
-21.81,-32.40614353715727,-31.076223
-5.2,2.57115547222222,3.450582
22.8,23.90699089202449,25.750841
1.5,19.042839873123388,20.638422
4.14,9.122344233562973,5.8223825
34.08,26.902301421945058,26.216381
-10.48,-6.246638389167632,-7.3673887
18.89,1.0713258625153157,1.573947
18.59,18.04699521552214,12.452843
53.49,33.57046331249047,37.752438
-51.89,-109.13833470238087,-104.26635
32.48,161.7655002966641,126.524506
-29.44,-11.41904425342616,-23.081139
2.88,4.952868902898316,4.093159
4.56,8.570053303847263,5.8488355
6.81,7.663499430942648,4.3680515
-93.34,-86.50386818272004,-78.61698
9.83,11.662246597932285,1.8448744
140.04,59.462740864656986,63.884754
-30.56,-34.909781240079354,-37.353687
10.62,18.114700999088296,21.417719
11.07,11.730022675094201,10.382644
49.92,27.44987140241704,9.980959
5.7,8.429966311201088,6.577395
49.56,18.102296881596576,19.801071
50.05,26.969813165536017,30.81148
31.58,2.6425890092263007,-2.6662455
6.16,6.707349508928569,3.934088
-19.86,-22.64986584051724,-37.23434
2.02,7.742435691524765,10.397538
115.74,95.71450624961518,108.648674
-4.93,10.715537202953586,11.338265
6.12,7.041841029213299,6.395564
13.01,13.195637785764829,8.881133
34.43,26.132677673954976,20.849922
7.06,-18.491904547686808,-17.161163
44.1,49.44745111134977,55.621178
3.8,5.698255661536297,4.788889
-56.26,-112.77500335317461,-119.52775
3.77,8.389248047348845,1.5597008
120.57,177.97805986646264,168.31139
7.99,9.771890071546387,0.4334706
123.43,56.530478892746416,47.44644
91.62,111.19401725446014,134.77238
18.36,10.811590204564562,11.79551
17.04,13.081525017600702,11.109578
588.73,276.582362560691,330.7517
2.07,3.7646248578481196,1.963575
19.98,20.21517395552519,5.891384
18.84,12.308437329213719,10.025209
0.0,33.816400100276226,48.664757
55.2,40.23352862041889,36.2915
16.56,85.3169064723466,86.580414
5.09,4.782196255406974,2.3613353
86.76,-340.3482103513044,-387.86996
64.63,0.3478635416666645,-51.061646
30.44,25.052986890880447,30.538631
4.8,19.08579783235283,23.213606
-1.42,-21.30321220168925,-22.550146
14.13,20.016312071477834,15.36238
-18.9,-10.600329649124298,-13.059047
743.99,696.2630573687424,1008.53265
-30.53,41.29334115888693,77.43106
-10.25,-19.951668441909042,-20.156866
118.38,178.0357288507705,106.54849
70.15,56.602588795544726,106.82746
19.32,14.551662333591276,16.223692
44.97,32.418523276399036,38.373028
-3.56,-26.135880327291737,-22.717167
3.68,9.694344290434254,8.79607
11.16,9.922004528214709,2.6426349
-2.68,5.653979985452666,5.402031
5.92,6.628965059072868,4.238106
43.32,35.845554961207114,38.492374
19.67,20.503160496031764,14.742646
4.02,3.2723384579015526,3.5734634
-37.59,-38.55908939574315,-35.918552
-44.65,-42.16683875270562,-65.78128
-84.01,-56.345868706709986,-134.50398
147.5,107.08866269166529,105.072685
79.79,65.70331150900812,66.118
27.36,56.42579186956612,48.79413
56.43,15.930083482217087,17.147423
110.28,238.07234830224505,247.14888
23.76,48.998168214697124,31.70607
-0.68,3.8090908157745282,5.731072
-58.26,-43.28239304845909,-37.445606
100.43,77.26808344391739,74.29569
-2.11,-16.83095635952783,-20.999823
36.94,-86.86246148538957,-62.423798
3.88,5.596403655459455,5.4537516
178.5,235.82880938349098,264.997
-5.42,-12.51277727272249,-22.829668
17.82,13.762888960918447,13.927216
81.24,41.152309757731274,37.044407
-23.4,-20.664772010933184,-23.518446
2.82,5.010457682731223,4.6554575
31.2,18.458655023753412,21.26372
-11.93,-10.256033679233,-10.460526
27.36,22.152312578691475,26.319681
-8.43,1.9811201007791326,2.6252384
356.4,334.16894515873025,424.91647
-255.86,-129.67300780753968,-55.230686
17.47,3.3343252734098643,-17.335112
49.2,25.44637694795133,25.295607
0.0,22.566889926921974,23.601341
32.34,21.660613128637255,24.544983
92.24,68.66522790104695,70.77738
13.38,13.091765759450784,11.208187
11.16,7.976819429152732,6.4379435
15.03,19.886088070291336,23.700178
10.17,8.366027072649986,3.147456
56.52,112.88439166009795,101.82617
8.04,7.537334264145546,5.3384275
-2.57,-9.40666453274084,-17.365303
4.54,41.00329809820186,57.862587
9.0,18.064032880160813,15.493078
-35.24,40.259064348787795,48.144222
29.89,10.290858113531892,5.7305965
2.89,5.393041442768012,3.2528439
